Id;date;station;count
168;2022-10-16;18th St & Wyoming Ave NW;65
169;2022-09-28;18th St & Wyoming Ave NW;63
170;2022-10-17;18th St & Wyoming Ave NW;55
171;2022-05-10;18th St & Wyoming Ave NW;71
172;2022-05-24;18th St & Wyoming Ave NW;46
173;2022-10-25;18th St & Wyoming Ave NW;75
174;2022-04-15;18th St & Wyoming Ave NW;58
175;2022-11-04;18th St & Wyoming Ave NW;109
176;2022-03-31;18th St & Wyoming Ave NW;33
177;2022-04-25;18th St & Wyoming Ave NW;36
178;2022-10-15;18th St & Wyoming Ave NW;139
179;2022-10-14;18th St & Wyoming Ave NW;60
180;2022-09-24;18th St & Wyoming Ave NW;89
181;2022-05-06;18th St & Wyoming Ave NW;33
182;2022-10-24;18th St & Wyoming Ave NW;38
183;2022-10-12;18th St & Wyoming Ave NW;63
184;2022-11-03;18th St & Wyoming Ave NW;63
185;2022-09-30;18th St & Wyoming Ave NW;69
186;2022-10-27;18th St & Wyoming Ave NW;86
187;2022-10-02;18th St & Wyoming Ave NW;37
188;2022-01-02;18th St & Wyoming Ave NW;25
189;2022-10-31;18th St & Wyoming Ave NW;39
190;2022-10-11;18th St & Wyoming Ave NW;101
191;2022-05-01;18th St & Wyoming Ave NW;64
192;2022-10-01;18th St & Wyoming Ave NW;44
193;2022-03-22;18th St & Wyoming Ave NW;68
194;2022-03-20;18th St & Wyoming Ave NW;50
195;2022-11-08;18th St & Wyoming Ave NW;79
196;2022-03-16;18th St & Wyoming Ave NW;59
197;2022-04-01;18th St & Wyoming Ave NW;72
198;2022-10-08;18th St & Wyoming Ave NW;75
199;2022-03-18;18th St & Wyoming Ave NW;NA
200;2022-01-01;18th St & Wyoming Ave NW;28
201;2022-10-10;18th St & Wyoming Ave NW;48
202;2022-10-23;18th St & Wyoming Ave NW;72
203;2022-04-17;18th St & Wyoming Ave NW;NA
204;2022-10-05;18th St & Wyoming Ave NW;46
205;2022-11-10;18th St & Wyoming Ave NW;81
206;2022-10-22;18th St & Wyoming Ave NW;106
207;2022-04-21;18th St & Wyoming Ave NW;53
208;2022-03-21;18th St & Wyoming Ave NW;59
209;2022-04-06;18th St & Wyoming Ave NW;44
